unicode,image_path,annotation,group,subgroup,shortcode
1F1E6,/content/resizeopenmoji128/1F1E6.png,,,,
1F1E7,/content/resizeopenmoji128/1F1E7.png,,,,
1F1E8,/content/resizeopenmoji128/1F1E8.png,,,,
1F1E9,/content/resizeopenmoji128/1F1E9.png,,,,
1F1EA,/content/resizeopenmoji128/1F1EA.png,,,,
1F1EB,/content/resizeopenmoji128/1F1EB.png,,,,
1F1EC,/content/resizeopenmoji128/1F1EC.png,,,,
1F1ED,/content/resizeopenmoji128/1F1ED.png,,,,
1F1EE,/content/resizeopenmoji128/1F1EE.png,,,,
1F1EF,/content/resizeopenmoji128/1F1EF.png,,,,
1F1F0,/content/resizeopenmoji128/1F1F0.png,,,,
1F1F1,/content/resizeopenmoji128/1F1F1.png,,,,
1F1F2,/content/resizeopenmoji128/1F1F2.png,,,,
1F1F3,/content/resizeopenmoji128/1F1F3.png,,,,
1F1F4,/content/resizeopenmoji128/1F1F4.png,,,,
1F1F5,/content/resizeopenmoji128/1F1F5.png,,,,
1F1F6,/content/resizeopenmoji128/1F1F6.png,,,,
1F1F7,/content/resizeopenmoji128/1F1F7.png,,,,
1F1F8,/content/resizeopenmoji128/1F1F8.png,,,,
1F1F9,/content/resizeopenmoji128/1F1F9.png,,,,
1F1FA,/content/resizeopenmoji128/1F1FA.png,,,,
1F1FB,/content/resizeopenmoji128/1F1FB.png,,,,
1F1FC,/content/resizeopenmoji128/1F1FC.png,,,,
1F1FD,/content/resizeopenmoji128/1F1FD.png,,,,
1F1FE,/content/resizeopenmoji128/1F1FE.png,,,,
1F1FF,/content/resizeopenmoji128/1F1FF.png,,,,
1F600,/content/resizeopenmoji128/1F600.png,,0.0,0.0,grinning
1F603,/content/resizeopenmoji128/1F603.png,,0.0,0.0,smiley
1F604,/content/resizeopenmoji128/1F604.png,,0.0,0.0,smile
1F601,/content/resizeopenmoji128/1F601.png,,0.0,0.0,grin
1F606,/content/resizeopenmoji128/1F606.png,,0.0,0.0,"['laughing', 'satisfied']"
1F605,/content/resizeopenmoji128/1F605.png,,0.0,0.0,sweat_smile
1F923,/content/resizeopenmoji128/1F923.png,,0.0,0.0,rofl
1F602,/content/resizeopenmoji128/1F602.png,,0.0,0.0,joy
1F642,/content/resizeopenmoji128/1F642.png,,0.0,0.0,slightly_smiling_face
1F643,/content/resizeopenmoji128/1F643.png,,0.0,0.0,upside_down_face
1FAE0,/content/resizeopenmoji128/1FAE0.png,,0.0,0.0,melting_face
1F609,/content/resizeopenmoji128/1F609.png,,0.0,0.0,wink
1F60A,/content/resizeopenmoji128/1F60A.png,,0.0,0.0,blush
1F607,/content/resizeopenmoji128/1F607.png,,0.0,0.0,innocent
1F970,/content/resizeopenmoji128/1F970.png,,0.0,1.0,smiling_face_with_three_hearts
1F60D,/content/resizeopenmoji128/1F60D.png,,0.0,1.0,heart_eyes
1F929,/content/resizeopenmoji128/1F929.png,,0.0,1.0,star_struck
1F618,/content/resizeopenmoji128/1F618.png,,0.0,1.0,kissing_heart
1F617,/content/resizeopenmoji128/1F617.png,,0.0,1.0,kissing
263A,/content/resizeopenmoji128/263A.png,,0.0,1.0,relaxed
1F61A,/content/resizeopenmoji128/1F61A.png,,0.0,1.0,kissing_closed_eyes
1F619,/content/resizeopenmoji128/1F619.png,,0.0,1.0,kissing_smiling_eyes
1F972,/content/resizeopenmoji128/1F972.png,,0.0,1.0,smiling_face_with_tear
1F60B,/content/resizeopenmoji128/1F60B.png,,0.0,2.0,yum
1F61B,/content/resizeopenmoji128/1F61B.png,,0.0,2.0,stuck_out_tongue
1F61C,/content/resizeopenmoji128/1F61C.png,,0.0,2.0,stuck_out_tongue_winking_eye
1F92A,/content/resizeopenmoji128/1F92A.png,,0.0,2.0,zany_face
1F61D,/content/resizeopenmoji128/1F61D.png,,0.0,2.0,stuck_out_tongue_closed_eyes
1F911,/content/resizeopenmoji128/1F911.png,,0.0,2.0,money_mouth_face
1F917,/content/resizeopenmoji128/1F917.png,,0.0,3.0,hugs
1F92D,/content/resizeopenmoji128/1F92D.png,,0.0,3.0,hand_over_mouth
1FAE2,/content/resizeopenmoji128/1FAE2.png,,0.0,3.0,face_with_open_eyes_and_hand_over_mouth
1FAE3,/content/resizeopenmoji128/1FAE3.png,,0.0,3.0,face_with_peeking_eye
1F92B,/content/resizeopenmoji128/1F92B.png,,0.0,3.0,shushing_face
1F914,/content/resizeopenmoji128/1F914.png,,0.0,3.0,thinking
1FAE1,/content/resizeopenmoji128/1FAE1.png,,0.0,3.0,saluting_face
1F910,/content/resizeopenmoji128/1F910.png,,0.0,4.0,zipper_mouth_face
1F928,/content/resizeopenmoji128/1F928.png,,0.0,4.0,raised_eyebrow
1F610,/content/resizeopenmoji128/1F610.png,,0.0,4.0,neutral_face
1F611,/content/resizeopenmoji128/1F611.png,,0.0,4.0,expressionless
1F636,/content/resizeopenmoji128/1F636.png,,0.0,4.0,no_mouth
1FAE5,/content/resizeopenmoji128/1FAE5.png,,0.0,4.0,dotted_line_face
1F636-200D-1F32B-FE0F,/content/resizeopenmoji128/1F636-200D-1F32B-FE0F.png,,0.0,4.0,face_in_clouds
1F60F,/content/resizeopenmoji128/1F60F.png,,0.0,4.0,smirk
1F612,/content/resizeopenmoji128/1F612.png,,0.0,4.0,unamused
1F644,/content/resizeopenmoji128/1F644.png,,0.0,4.0,roll_eyes
1F62C,/content/resizeopenmoji128/1F62C.png,,0.0,4.0,grimacing
1F62E-200D-1F4A8,/content/resizeopenmoji128/1F62E-200D-1F4A8.png,,0.0,4.0,face_exhaling
1F925,/content/resizeopenmoji128/1F925.png,,0.0,4.0,lying_face
1FAE8,/content/resizeopenmoji128/1FAE8.png,,0.0,4.0,shaking_face
1F642-200D-2194-FE0F,/content/resizeopenmoji128/1F642-200D-2194-FE0F.png,,0.0,4.0,
1F642-200D-2195-FE0F,/content/resizeopenmoji128/1F642-200D-2195-FE0F.png,,0.0,4.0,
1F60C,/content/resizeopenmoji128/1F60C.png,,0.0,5.0,relieved
1F614,/content/resizeopenmoji128/1F614.png,,0.0,5.0,pensive
1F62A,/content/resizeopenmoji128/1F62A.png,,0.0,5.0,sleepy
1F924,/content/resizeopenmoji128/1F924.png,,0.0,5.0,drooling_face
1F634,/content/resizeopenmoji128/1F634.png,,0.0,5.0,sleeping
1F637,/content/resizeopenmoji128/1F637.png,,0.0,6.0,mask
1F912,/content/resizeopenmoji128/1F912.png,,0.0,6.0,face_with_thermometer
1F915,/content/resizeopenmoji128/1F915.png,,0.0,6.0,face_with_head_bandage
1F922,/content/resizeopenmoji128/1F922.png,,0.0,6.0,nauseated_face
1F92E,/content/resizeopenmoji128/1F92E.png,,0.0,6.0,vomiting_face
1F927,/content/resizeopenmoji128/1F927.png,,0.0,6.0,sneezing_face
1F975,/content/resizeopenmoji128/1F975.png,,0.0,6.0,hot_face
1F976,/content/resizeopenmoji128/1F976.png,,0.0,6.0,cold_face
1F974,/content/resizeopenmoji128/1F974.png,,0.0,6.0,woozy_face
1F635,/content/resizeopenmoji128/1F635.png,,0.0,6.0,dizzy_face
1F635-200D-1F4AB,/content/resizeopenmoji128/1F635-200D-1F4AB.png,,0.0,6.0,face_with_spiral_eyes
1F92F,/content/resizeopenmoji128/1F92F.png,,0.0,6.0,exploding_head
1F920,/content/resizeopenmoji128/1F920.png,,0.0,7.0,cowboy_hat_face
1F973,/content/resizeopenmoji128/1F973.png,,0.0,7.0,partying_face
1F978,/content/resizeopenmoji128/1F978.png,,0.0,7.0,disguised_face
1F60E,/content/resizeopenmoji128/1F60E.png,,0.0,8.0,sunglasses
1F913,/content/resizeopenmoji128/1F913.png,,0.0,8.0,nerd_face
1F9D0,/content/resizeopenmoji128/1F9D0.png,,0.0,8.0,monocle_face
1F615,/content/resizeopenmoji128/1F615.png,,0.0,9.0,confused
1FAE4,/content/resizeopenmoji128/1FAE4.png,,0.0,9.0,face_with_diagonal_mouth
1F61F,/content/resizeopenmoji128/1F61F.png,,0.0,9.0,worried
1F641,/content/resizeopenmoji128/1F641.png,,0.0,9.0,slightly_frowning_face
2639,/content/resizeopenmoji128/2639.png,,0.0,9.0,frowning_face
1F62E,/content/resizeopenmoji128/1F62E.png,,0.0,9.0,open_mouth
1F62F,/content/resizeopenmoji128/1F62F.png,,0.0,9.0,hushed
1F632,/content/resizeopenmoji128/1F632.png,,0.0,9.0,astonished
1F633,/content/resizeopenmoji128/1F633.png,,0.0,9.0,flushed
1F97A,/content/resizeopenmoji128/1F97A.png,,0.0,9.0,pleading_face
1F979,/content/resizeopenmoji128/1F979.png,,0.0,9.0,face_holding_back_tears
1F626,/content/resizeopenmoji128/1F626.png,,0.0,9.0,frowning
1F627,/content/resizeopenmoji128/1F627.png,,0.0,9.0,anguished
1F628,/content/resizeopenmoji128/1F628.png,,0.0,9.0,fearful
1F630,/content/resizeopenmoji128/1F630.png,,0.0,9.0,cold_sweat
1F625,/content/resizeopenmoji128/1F625.png,,0.0,9.0,disappointed_relieved
1F622,/content/resizeopenmoji128/1F622.png,,0.0,9.0,cry
1F62D,/content/resizeopenmoji128/1F62D.png,,0.0,9.0,sob
1F631,/content/resizeopenmoji128/1F631.png,,0.0,9.0,scream
1F616,/content/resizeopenmoji128/1F616.png,,0.0,9.0,confounded
1F623,/content/resizeopenmoji128/1F623.png,,0.0,9.0,persevere
1F61E,/content/resizeopenmoji128/1F61E.png,,0.0,9.0,disappointed
1F613,/content/resizeopenmoji128/1F613.png,,0.0,9.0,sweat
1F629,/content/resizeopenmoji128/1F629.png,,0.0,9.0,weary
1F62B,/content/resizeopenmoji128/1F62B.png,,0.0,9.0,tired_face
1F971,/content/resizeopenmoji128/1F971.png,,0.0,9.0,yawning_face
1F624,/content/resizeopenmoji128/1F624.png,,0.0,10.0,triumph
